,pred,actual,naive
31/01/2025 23:00,2.300575495,3.76,1.72
01/02/2025 03:00,2.518440962,4.25,1.34
01/02/2025 07:00,2.567670822,3.42,1.83
01/02/2025 11:00,2.668937206,2.81,2.73
01/02/2025 15:00,3.937108517,4.65,13.96
01/02/2025 19:00,2.91934514,3,2.5
01/02/2025 23:00,2.648894072,2.31,3.76
02/02/2025 03:00,2.670487165,3.27,4.25
02/02/2025 07:00,2.585836887,2,3.42
02/02/2025 11:00,2.664074421,2,2.81
02/02/2025 15:00,3.847894192,4.25,4.65
02/02/2025 19:00,2.790932417,3.25,3
02/02/2025 23:00,4.071325779,5.69,2.31
03/02/2025 03:00,3.993412256,4.5,3.27
03/02/2025 07:00,6.936675072,11,2
03/02/2025 11:00,4.674012661,7.69,2
03/02/2025 15:00,7.878870964,9.58,4.25
03/02/2025 19:00,4.45842886,6.5,3.25
03/02/2025 23:00,3.345919132,3,5.69
04/02/2025 03:00,3.291647911,4.25,4.5
04/02/2025 07:00,3.482783318,6.4,11
04/02/2025 11:00,3.466436863,4.39,7.69
04/02/2025 15:00,6.185902119,9.4,9.58
04/02/2025 19:00,3.619241953,4.33,6.5
04/02/2025 23:00,2.909326553,4.69,3
05/02/2025 03:00,3.154038429,1.96,4.25
05/02/2025 07:00,4.016052723,5,6.4
05/02/2025 11:00,4.008878708,6,4.39
05/02/2025 15:00,8.007284164,6.41,9.4
05/02/2025 19:00,3.777302265,3,4.33
05/02/2025 23:00,2.415534496,1.31,4.69
06/02/2025 03:00,3.004812002,4.69,1.96
06/02/2025 07:00,7.564837456,8.38,5
06/02/2025 11:00,3.493139982,3.36,6
06/02/2025 15:00,6.327327728,6.2,6.41
06/02/2025 19:00,4.259421349,3.58,3
06/02/2025 23:00,2.728253126,1.89,1.31
07/02/2025 03:00,4.191230774,5.69,4.69
07/02/2025 07:00,4.798821449,5.92,8.38
07/02/2025 11:00,3.029438496,2.01,3.36
07/02/2025 15:00,5.606273174,4.62,6.2
07/02/2025 19:00,3.366481066,3.68,3.58
07/02/2025 23:00,3.603319645,5.69,1.89
08/02/2025 03:00,2.121663094,1.59,5.69
08/02/2025 07:00,2.439057589,2.17,5.92
08/02/2025 11:00,2.058540344,0.92,2.01
08/02/2025 15:00,5.106379986,4.3,4.62
08/02/2025 19:00,2.012470961,1.59,3.68
08/02/2025 23:00,2.458065271,2.08,5.69
09/02/2025 03:00,2.363649845,1,1.59
09/02/2025 07:00,2.585864782,1.77,2.17
09/02/2025 11:00,1.872852325,1.31,0.92
09/02/2025 15:00,3.950191498,3.7,4.3
09/02/2025 19:00,2.567504883,2.95,1.59
09/02/2025 23:00,3.097940922,4,2.08
10/02/2025 03:00,2.546887636,3.18,1
10/02/2025 07:00,3.85076952,4.58,1.77
10/02/2025 11:00,2.596806049,3.25,1.31
10/02/2025 15:00,4.448245525,5.13,3.7
10/02/2025 19:00,3.281487226,4.5,2.95
10/02/2025 23:00,2.328946352,1.96,4
11/02/2025 03:00,2.599514008,3.6,3.18
11/02/2025 07:00,3.558580875,3.58,4.58
11/02/2025 11:00,2.504084587,1.74,3.25
11/02/2025 15:00,6.842268467,9,5.13
11/02/2025 19:00,3.266112089,2.96,4.5
11/02/2025 23:00,3.213128328,4.69,1.96
12/02/2025 03:00,2.558269024,2.05,3.6
12/02/2025 07:00,4.083383083,5.83,3.58
12/02/2025 11:00,2.657758713,1.93,1.74
12/02/2025 15:00,11.31423664,12.69,9
12/02/2025 19:00,3.696412563,4.42,2.96
12/02/2025 23:00,2.950006962,3.18,4.69
