,pred,actual,naive
31/12/2024 23:00,2.726208925,2.5,4
01/01/2025 03:00,3.034639359,3.96,4.69
01/01/2025 07:00,3.396278858,2.25,4.69
01/01/2025 11:00,2.186017513,2.14,2.14
01/01/2025 15:00,5.988984108,6.25,6.08
01/01/2025 19:00,4.048311234,3.34,4.4
01/01/2025 23:00,2.441357613,2,2.5
02/01/2025 03:00,2.868578911,4.69,3.96
02/01/2025 07:00,3.328235149,3.61,2.25
02/01/2025 11:00,1.84627533,2,2.14
02/01/2025 15:00,6.373049259,5.3,6.25
02/01/2025 19:00,2.976035118,2.5,3.34
02/01/2025 23:00,1.851744175,1.75,2
03/01/2025 03:00,2.89364934,4.27,4.69
03/01/2025 07:00,3.697532654,4.69,3.61
03/01/2025 11:00,1.99565196,3.13,2
03/01/2025 15:00,13.76912594,13.37,5.3
03/01/2025 19:00,2.97538352,3.25,2.5
03/01/2025 23:00,2.206317663,2.2,1.75
04/01/2025 03:00,2.082001925,1.25,4.27
04/01/2025 07:00,2.776004314,2.08,4.69
04/01/2025 11:00,1.84527874,1.45,3.13
04/01/2025 15:00,4.271548748,3.4,13.37
04/01/2025 19:00,2.436681986,1.92,3.25
04/01/2025 23:00,1.915413022,2.3,2.2
05/01/2025 03:00,1.701902509,1.46,1.25
05/01/2025 07:00,2.488609076,1.88,2.08
05/01/2025 11:00,2.144320965,1.71,1.45
05/01/2025 15:00,2.626634121,2.08,3.4
05/01/2025 19:00,2.58972168,4.2,1.92
05/01/2025 23:00,2.157501698,2.4,2.3
06/01/2025 03:00,2.122472286,3.96,1.46
06/01/2025 07:00,2.623934746,3.57,1.88
06/01/2025 11:00,2.222016811,1.87,1.71
06/01/2025 15:00,7.452300549,7.08,2.08
06/01/2025 19:00,3.730230093,3.44,4.2
06/01/2025 23:00,2.360771179,2.25,2.4
07/01/2025 03:00,2.775253296,1.25,3.96
07/01/2025 07:00,3.866248846,4.33,3.57
07/01/2025 11:00,2.079285622,2,1.87
07/01/2025 15:00,7.946511269,7.68,7.08
07/01/2025 19:00,2.9977355,2.58,3.44
07/01/2025 23:00,2.037242413,2.8,2.25
08/01/2025 03:00,1.62397635,3.2,1.25
08/01/2025 07:00,4.71980238,3.83,4.33
08/01/2025 11:00,5.131380081,3.75,2
08/01/2025 15:00,53.27835846,53.69,7.68
08/01/2025 19:00,6.662666321,7,2.58
08/01/2025 23:00,2.234180689,1.32,2.8
09/01/2025 03:00,1.895302534,1.2,3.2
09/01/2025 07:00,4.187344074,5.75,3.83
09/01/2025 11:00,2.925263166,3.69,3.75
09/01/2025 15:00,10.58758736,6.69,53.69
09/01/2025 19:00,3.843217373,2.67,7
09/01/2025 23:00,2.203832626,2.25,1.32
10/01/2025 03:00,2.812096119,4.25,1.2
10/01/2025 07:00,21.03970528,23.02,5.75
10/01/2025 11:00,9.773778915,8.09,3.69
10/01/2025 15:00,53.78004456,53.69,6.69
10/01/2025 19:00,12.78852463,14.5,2.67
10/01/2025 23:00,1.560260057,1.25,2.25
11/01/2025 03:00,2.232221842,1.6,4.25
11/01/2025 07:00,2.464419365,2.29,23.02
11/01/2025 11:00,2.487094879,1.54,8.09
11/01/2025 15:00,10.23800087,10.17,53.69
11/01/2025 19:00,3.250505447,3.17,14.5
11/01/2025 23:00,1.784102917,1.85,1.25
12/01/2025 03:00,2.308995724,1.25,1.6
12/01/2025 07:00,2.560590982,1.51,2.29
12/01/2025 11:00,2.335357666,1.25,1.54
12/01/2025 15:00,4.231152058,4.07,10.17
12/01/2025 19:00,3.097097635,3.02,3.17
12/01/2025 23:00,1.711992741,1.33,1.85
13/01/2025 03:00,1.70827353,1.54,1.25
13/01/2025 07:00,4.043436527,4.5,1.51
13/01/2025 11:00,1.904898524,2.5,1.25
13/01/2025 15:00,4.660704136,4.23,4.07
13/01/2025 19:00,3.504684925,3.17,3.02
13/01/2025 23:00,1.99175036,3,1.33
14/01/2025 03:00,1.90787077,3.69,1.54
14/01/2025 07:00,3.063171148,3.42,4.5
14/01/2025 11:00,2.010407686,1,2.5
14/01/2025 15:00,5.404067039,3.75,4.23
14/01/2025 19:00,2.630327225,2.5,3.17
14/01/2025 23:00,1.920299411,1.85,3
15/01/2025 03:00,2.552366018,1.52,3.69
15/01/2025 07:00,5.866440773,7.48,3.42
15/01/2025 11:00,2.180292606,2.02,1
15/01/2025 15:00,12.4395504,13.4,3.75
15/01/2025 19:00,4.281119823,2.9,2.5
15/01/2025 23:00,2.130195379,1.35,1.85
16/01/2025 03:00,2.238642454,1.72,1.52
16/01/2025 07:00,7.04275465,7,7.48
16/01/2025 11:00,2.60279727,5.5,2.02
16/01/2025 15:00,8.889892578,9.75,13.4
16/01/2025 19:00,3.041205406,3,2.9
16/01/2025 23:00,1.551646709,1.7,1.35
17/01/2025 03:00,1.586170197,1.65,1.72
17/01/2025 07:00,3.711004257,2.92,7
17/01/2025 11:00,3.304626942,1.59,5.5
17/01/2025 15:00,5.716166973,6.48,9.75
17/01/2025 19:00,2.981795311,2.25,3
17/01/2025 23:00,1.78978169,2.2,1.7
18/01/2025 03:00,1.939041972,3.33,1.65
18/01/2025 07:00,2.711264133,2.5,2.92
18/01/2025 11:00,2.359695673,2.53,1.59
18/01/2025 15:00,4.284992695,4.1,6.48
18/01/2025 19:00,2.300652742,2.42,2.25
18/01/2025 23:00,2.148677111,1.68,2.2
19/01/2025 03:00,1.999768376,1.54,3.33
19/01/2025 07:00,2.433668613,3.33,2.5
19/01/2025 11:00,2.192148924,2,2.53
19/01/2025 15:00,7.7783494,7.83,4.1
19/01/2025 19:00,3.502826452,3,2.42
19/01/2025 23:00,1.921393991,4.27,1.68
20/01/2025 03:00,2.830771923,3.5,1.54
20/01/2025 07:00,7.83793354,8.75,3.33
20/01/2025 11:00,5.500993729,4.27,2
20/01/2025 15:00,59.77261734,65,7.83
20/01/2025 19:00,8.570944786,9,3
20/01/2025 23:00,2.579494238,3.5,4.27
21/01/2025 03:00,2.462494135,2.7,3.5
21/01/2025 07:00,7.183816433,6.82,8.75
21/01/2025 11:00,5.177993774,3.77,4.27
21/01/2025 15:00,55.28509903,55,65
21/01/2025 19:00,8.574887276,9,9
21/01/2025 23:00,3.248828173,5.91,3.5
22/01/2025 03:00,3.50910902,5,2.7
22/01/2025 07:00,10.34351921,10.24,6.82
22/01/2025 11:00,8.910186768,9,3.77
22/01/2025 15:00,68.5851059,75,55
22/01/2025 19:00,22.46484756,26.73,9
22/01/2025 23:00,2.506280899,1.7,5.91
