,pred,actual,naive
2025-02-28 23:00:00,2.8677031993865967,3.25,4.0
2025-03-01 03:00:00,2.8229141235351562,3.67,2.8
2025-03-01 07:00:00,4.023510932922363,4.0,7.6
2025-03-01 11:00:00,3.0134079456329346,6.5,3.34
2025-03-01 15:00:00,5.014010429382324,7.15,6.62
2025-03-01 19:00:00,3.8102974891662598,3.78,5.2
2025-03-01 23:00:00,3.268678665161133,1.8,3.25
2025-03-02 03:00:00,2.587397813796997,2.07,3.67
2025-03-02 07:00:00,3.222705602645874,2.29,4.0
2025-03-02 11:00:00,3.6276707649230957,3.21,6.5
2025-03-02 15:00:00,7.07220983505249,7.69,7.15
2025-03-02 19:00:00,3.770761251449585,3.54,3.78
2025-03-02 23:00:00,3.4161746501922607,5.81,1.8
2025-03-03 03:00:00,3.384443521499634,5.36,2.07
2025-03-03 07:00:00,4.723053455352783,5.0,2.29
2025-03-03 11:00:00,3.9909002780914307,4.36,3.21
2025-03-03 15:00:00,8.161279678344727,8.69,7.69
2025-03-03 19:00:00,4.523009300231934,4.69,3.54
2025-03-03 23:00:00,3.9967517852783203,4.22,5.81
2025-03-04 03:00:00,4.273667335510254,4.0,5.36
2025-03-04 07:00:00,4.56989860534668,7.3,5.0
2025-03-04 11:00:00,3.9950339794158936,3.32,4.36
2025-03-04 15:00:00,7.6935553550720215,8.78,8.69
2025-03-04 19:00:00,4.550999164581299,5.5,4.69
2025-03-04 23:00:00,4.678619384765625,5.69,4.22
2025-03-05 03:00:00,4.7587809562683105,7.4,4.0
2025-03-05 07:00:00,6.775535583496094,9.74,7.3
2025-03-05 11:00:00,4.017217636108398,3.98,3.32
2025-03-05 15:00:00,8.243386268615723,11.5,8.78
2025-03-05 19:00:00,5.377786159515381,7.22,5.5
2025-03-05 23:00:00,4.7036871910095215,6.21,5.69
2025-03-06 03:00:00,4.890056610107422,7.5,7.4
2025-03-06 07:00:00,6.669317722320557,9.94,9.74
2025-03-06 11:00:00,4.165380477905273,5.26,3.98
2025-03-06 15:00:00,7.515792369842529,12.19,11.5
2025-03-06 19:00:00,5.160760879516602,5.0,7.22
2025-03-06 23:00:00,4.251691818237305,4.27,6.21
2025-03-07 03:00:00,4.394114017486572,2.24,7.5
2025-03-07 07:00:00,5.1169514656066895,5.02,9.94
2025-03-07 11:00:00,4.2776689529418945,4.0,5.26
2025-03-07 15:00:00,7.237666130065918,5.52,12.19
2025-03-07 19:00:00,4.478701114654541,5.4,5.0
2025-03-07 23:00:00,3.768063545227051,2.8,4.27
2025-03-08 03:00:00,3.1200180053710938,2.47,2.24
2025-03-08 07:00:00,4.4237446784973145,5.5,5.02
2025-03-08 11:00:00,3.8176653385162354,6.5,4.0
2025-03-08 15:00:00,4.94635009765625,6.5,5.52
2025-03-08 19:00:00,4.365523338317871,3.79,5.4
2025-03-08 23:00:00,2.931788444519043,2.34,2.8
2025-03-09 03:00:00,2.297051429748535,2.92,2.47
2025-03-09 07:00:00,6.576806545257568,4.5,5.5
2025-03-09 11:00:00,4.057222843170166,4.69,6.5
2025-03-09 15:00:00,6.8930206298828125,7.2,6.5
2025-03-09 19:00:00,3.596686363220215,2.0,3.79
2025-03-09 23:00:00,3.4666361808776855,4.69,2.34
2025-03-10 03:00:00,3.5576984882354736,4.5,2.92
2025-03-10 07:00:00,6.346843242645264,9.65,4.5
2025-03-10 11:00:00,4.989764213562012,6.69,4.69
2025-03-10 15:00:00,7.582129001617432,6.69,7.2
2025-03-10 19:00:00,3.6416823863983154,4.43,2.0
2025-03-10 23:00:00,4.060324192047119,5.54,4.69
2025-03-11 03:00:00,3.8665926456451416,4.34,4.5
2025-03-11 07:00:00,6.248948097229004,7.69,9.65
2025-03-11 11:00:00,3.958873987197876,2.82,6.69
2025-03-11 15:00:00,6.762944221496582,7.33,6.69
2025-03-11 19:00:00,3.8908658027648926,4.33,4.43
2025-03-11 23:00:00,3.543002128601074,4.17,5.54
2025-03-12 03:00:00,3.812469720840454,4.5,4.34
2025-03-12 07:00:00,4.96928071975708,3.16,7.69
2025-03-12 11:00:00,3.644432306289673,3.95,2.82
2025-03-12 15:00:00,7.449912071228027,8.8,7.33
2025-03-12 19:00:00,5.826923847198486,4.69,4.33
2025-03-12 23:00:00,3.281705141067505,4.69,4.17
2025-03-13 03:00:00,3.1568682193756104,3.82,4.5
2025-03-13 07:00:00,4.097879409790039,6.34,3.16
2025-03-13 11:00:00,2.8377227783203125,4.69,3.95
2025-03-13 15:00:00,8.058822631835938,7.2,8.8
2025-03-13 19:00:00,4.207131385803223,3.0,4.69
2025-03-13 23:00:00,3.5061120986938477,2.05,4.69
2025-03-14 03:00:00,3.353315830230713,4.0,3.82
2025-03-14 07:00:00,7.103446006774902,5.25,6.34
2025-03-14 11:00:00,3.7748067378997803,5.69,4.69
2025-03-14 15:00:00,7.240406036376953,4.51,7.2
2025-03-14 19:00:00,3.196931838989258,3.48,3.0
2025-03-14 23:00:00,2.6836652755737305,2.53,2.05
2025-03-15 03:00:00,3.2100894451141357,2.59,4.0
2025-03-15 07:00:00,4.167994976043701,3.69,5.25
2025-03-15 11:00:00,3.9709198474884033,4.25,5.69
2025-03-15 15:00:00,5.912972927093506,6.61,4.51
2025-03-15 19:00:00,2.940847873687744,2.51,3.48
2025-03-15 23:00:00,2.4453392028808594,2.73,2.53
2025-03-16 03:00:00,2.6990883350372314,2.76,2.59
2025-03-16 07:00:00,3.6068100929260254,8.45,3.69
2025-03-16 11:00:00,3.5644845962524414,2.55,4.25
2025-03-16 15:00:00,5.933175086975098,4.3,6.61
2025-03-16 19:00:00,2.817145586013794,2.5,2.51
2025-03-16 23:00:00,2.912529706954956,5.69,2.73
2025-03-17 03:00:00,2.8675827980041504,1.82,2.76
2025-03-17 07:00:00,4.592580318450928,3.75,8.45
2025-03-17 11:00:00,3.3229563236236572,2.94,2.55
2025-03-17 15:00:00,5.9713921546936035,5.69,4.3
2025-03-17 19:00:00,2.9251792430877686,4.18,2.5
2025-03-17 23:00:00,3.578322172164917,2.63,5.69
2025-03-18 03:00:00,3.620102643966675,4.69,1.82
2025-03-18 07:00:00,4.621635437011719,3.17,3.75
2025-03-18 11:00:00,3.545137405395508,4.12,2.94
2025-03-18 15:00:00,6.930852890014648,7.92,5.69
2025-03-18 19:00:00,4.046653747558594,4.75,4.18
2025-03-18 23:00:00,3.079881429672241,2.78,2.63
2025-03-19 03:00:00,3.3625192642211914,4.69,4.69
2025-03-19 07:00:00,3.3140299320220947,5.36,3.17
2025-03-19 11:00:00,3.233128309249878,6.69,4.12
2025-03-19 15:00:00,7.9004011154174805,8.5,7.92
2025-03-19 19:00:00,3.6658928394317627,3.7,4.75
2025-03-19 23:00:00,2.8207554817199707,1.78,2.78
2025-03-20 03:00:00,3.6895272731781006,2.32,4.69
2025-03-20 07:00:00,5.359308242797852,4.54,5.36
2025-03-20 11:00:00,4.007014751434326,4.0,6.69
2025-03-20 15:00:00,7.129877090454102,6.61,8.5
2025-03-20 19:00:00,3.7163727283477783,3.88,3.7
2025-03-20 23:00:00,3.322868824005127,5.14,1.78
2025-03-21 03:00:00,3.433349847793579,6.24,2.32
2025-03-21 07:00:00,4.857054233551025,6.38,4.54
2025-03-21 11:00:00,4.7339677810668945,5.69,4.0
2025-03-21 15:00:00,5.935586452484131,6.04,6.61
2025-03-21 19:00:00,4.5194220542907715,7.69,3.88
2025-03-21 23:00:00,3.916571855545044,7.69,5.14
2025-03-22 03:00:00,3.526876449584961,3.31,6.24
2025-03-22 07:00:00,4.173283100128174,4.91,6.38
2025-03-22 11:00:00,3.915020227432251,3.17,5.69
2025-03-22 15:00:00,4.970726013183594,6.33,6.04
2025-03-22 19:00:00,4.2773356437683105,4.6,7.69
2025-03-22 23:00:00,3.8548219203948975,2.98,7.69
2025-03-23 03:00:00,2.965379238128662,3.82,3.31
2025-03-23 07:00:00,3.9708383083343506,3.71,4.91
2025-03-23 11:00:00,3.093614101409912,4.69,3.17
2025-03-23 15:00:00,6.255888938903809,8.2,6.33
2025-03-23 19:00:00,3.839104175567627,3.54,4.6
2025-03-23 23:00:00,3.661074638366699,4.65,2.98
2025-03-24 03:00:00,3.6338882446289062,4.69,3.82
2025-03-24 07:00:00,5.009829044342041,6.37,3.71
2025-03-24 11:00:00,3.6181182861328125,3.83,4.69
2025-03-24 15:00:00,8.247138023376465,10.48,8.2
2025-03-24 19:00:00,4.578644275665283,5.59,3.54
2025-03-24 23:00:00,3.5003886222839355,4.0,4.65
2025-03-25 03:00:00,4.263391971588135,4.5,4.69
2025-03-25 07:00:00,4.2850728034973145,6.22,6.37
2025-03-25 11:00:00,3.6382668018341064,4.27,3.83
2025-03-25 15:00:00,7.949391841888428,7.5,10.48
2025-03-25 19:00:00,4.033331871032715,2.5,5.59
2025-03-25 23:00:00,4.211413383483887,5.69,4.0
2025-03-26 03:00:00,4.180913925170898,4.25,4.5
2025-03-26 07:00:00,5.940688133239746,6.79,6.22
2025-03-26 11:00:00,3.8552775382995605,1.76,4.27
2025-03-26 15:00:00,7.145753860473633,7.99,7.5
2025-03-26 19:00:00,3.957047939300537,4.58,2.5
2025-03-26 23:00:00,4.8027544021606445,2.2,5.69
2025-03-27 03:00:00,4.962191104888916,4.6,4.25
2025-03-27 07:00:00,7.0630717277526855,6.33,6.79
2025-03-27 11:00:00,4.931552886962891,6.46,1.76
2025-03-27 15:00:00,8.64615249633789,11.2,7.99
2025-03-27 19:00:00,4.729866981506348,5.57,4.58
2025-03-27 23:00:00,3.140277862548828,5.02,2.2
